Items,Average of Apr-22,Average of Mar-23,Average of Apr-23,MoM,YoY,Highest,Lowest
Agric eggs medium size,678.91,891.54,915.41,2.68,34.83,Enugu (N1175.33),Kogi (N599.91)
Agric eggs(medium size price of one),64.00,88.22,88.17,-0.06,37.78,Imo (N100.43),Niger (N68.85)
"Beans brown,sold loose",530.62,596.96,615.67,3.13,16.03,Ebonyi (N961.74),Niger (N428.57)
Beans:white black eye. sold loose,519.05,576.20,584.42,1.43,12.59,Ebonyi (N876.81),Benue (N410.29)
Beef Bone in,"1,508.08","1,856.19","1,887.27",1.67,25.14,Ogun (N2363.62),Osun (N1493.48)
"Beef,boneless","2,026.85","2,479.61","2,495.69",0.65,23.13,Imo (N3277.11),Kogi (N1789.67)
Bread sliced 500g,450.51,561.21,577.41,2.89,28.17,Edo (N830),Plateau (N360)
Bread unsliced 500g,412.25,518.14,536.00,3.45,30.02,Delta (N781.25),Akwa Ibom (N284)
Broken Rice (Ofada),513.50,584.95,601.61,2.85,17.16,Lagos (N954.79),Benue (N450)
Catfish (obokun) fresh,"1,379.18","1,566.34","1,589.12",1.45,15.22,Enugu (N3156),Kogi (N865)
Catfish :dried,"2,117.29","2,352.15","2,379.97",1.18,12.41,Imo (N4532.39),Taraba (N1522.2)
Catfish Smoked,"1,751.46","1,921.31","1,937.26",0.83,10.61,Ogun (N2754.29),Kaduna (N1478.15)
Chicken Feet,932.42,"1,108.61","1,115.29",0.60,19.61,Enugu (N2151),Taraba (N366.02)
Chicken Wings,"1,250.07","1,413.20","1,428.71",1.10,14.29,Delta (N2662.5),Taraba (N574.22)
Dried Fish Sardine,"1,730.64","1,949.98","1,983.19",1.70,14.59,Anambra (N3482.46),Ondo (N1340.74)
Evaporated tinned milk carnation 170g,216.77,300.11,308.66,2.85,42.39,Oyo (N436.67),Plateau (N240)
"Evaporated tinned milk(peak), 170g",253.85,369.15,378.82,2.62,49.23,Anambra (N455),Adamawa (N314)
Frozen chicken,"2,380.81","2,827.60","2,853.16",0.90,19.84,Enugu (N4760),Taraba (N1849.3)
"Gari white,sold loose",318.74,353.16,362.50,2.64,13.73,Enugu (N495.56),Kwara (N254.24)
"Gari yellow,sold loose",335.19,391.38,399.78,2.15,19.27,Imo (N527.14),Kwara (N272.22)
"Groundnut oil: 1 bottle, specify bottle","1,007.68","1,292.55","1,317.50",1.93,30.75,Ebonyi (N2200),Kogi (N750.33)
Iced Sardine,"1,337.70","1,641.96","1,669.58",1.68,24.81,Imo (N2871.78),Zamfara (N1260)
Irish potato,448.38,557.06,567.29,1.84,26.52,Lagos (N1251.23),Kogi (N220.46)
Mackerel : frozen,"1,414.15","1,651.54","1,660.03",0.51,17.39,Ebonyi (N2742.81),Benue (N1040.57)
Maize grain white sold loose,305.69,339.79,346.67,2.02,13.41,Rivers (N545.62),Kano (N239.31)
Maize grain yellow sold loose,304.35,343.92,349.46,1.61,14.82,Bayelsa (N557.48),Kebbi (N224.96)
Mudfish (aro) fresh,"1,305.07","1,442.91","1,466.24",1.62,12.35,Edo (N2218.52),Kwara (N835.67)
Mudfish : dried,"2,041.14","2,256.48","2,287.83",1.39,12.09,Abia (N4052.82),Kebbi (N1550)
Onion bulb,380.94,444.37,441.38,-0.67,15.87,Cross River (N987.39),Katsina (N163.33)
"Palm oil: 1 bottle,specify bottle",842.75,"1,086.70","1,107.14",1.88,31.37,Zamfara (N1836.06),Kwara (N740.56)
Plantain(ripe),306.75,400.43,412.39,2.99,34.44,Imo (N720.75),Taraba (N212.25)
Plantain(unripe),288.82,366.44,372.89,1.76,29.11,Rivers (N585.96),Taraba (N211.44)
Rice agric sold loose,504.20,613.29,631.50,2.97,25.25,Rivers (N965.45),Kebbi (N420.4)
Rice local sold loose,440.26,530.08,546.76,3.15,24.19,Ondo (N720.32),Jigawa (N354.14)
Rice Medium Grained,494.88,597.50,609.57,2.02,23.18,Bayelsa (N861.9),Kogi (N450)
"Rice,imported high quality sold loose",612.25,765.15,781.50,2.14,27.64,Rivers (N1106.06),Plateau (N626.45)
Sweet potato,227.74,278.36,286.26,2.84,25.70,Akwa Ibom (N453.78),Benue (N165.27)
Tilapia fish (epiya) fresh,"1,176.90","1,279.93","1,276.12",-0.30,8.43,Edo (N2341.67),Bauchi (N470.85)
Titus:frozen,"1,554.35","1,781.66","1,796.46",0.83,15.58,Rivers (N2792.82),Kwara (N1090)
Tomato,426.54,466.60,485.10,3.97,13.73,Edo (N950.62),Kogi (N205.26)
"Vegetable oil:1 bottle,specify bottle",981.16,"1,220.62","1,239.58",1.55,26.34,Abia (N1694.74),Kogi (N735.33)
Wheat flour: prepacked (golden penny 2kg),"1,047.74","1,275.23","1,295.17",1.56,23.62,Rivers (N1600),Kogi (N986.67)
Yam tuber,361.20,443.02,444.69,0.38,23.12,Akwa Ibom (N920.15),Benue (N200.37)
